Position,"Track Name",Artist,Streams,URL
4,"Dusk Till Dawn - Radio Edit",ZAYN,22568652,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
5,Havana,"Camila Cabello",22032273,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,1-800-273-8255,Logic,21168832,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
7,"What Lovers Do (feat. SZA)","Maroon 5",19275651,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
8,Silence,Marshmello,18862800,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
9,"Mi Gente","J Balvin",18509169,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
10,Perfect,"Ed Sheeran",18075233,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
1,rockstar,"Post Malone",46473893,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
2,"New Rules","Dua Lipa",25621918,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
3,"Too Good At Goodbyes - Edit","Sam Smith",23507492,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
4,"Dusk Till Dawn - Radio Edit",ZAYN,22376234,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
5,Havana,"Camila Cabello",22283674,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,1-800-273-8255,Logic,21783372,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
7,"Mi Gente","J Balvin",20801982,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
8,Silence,Marshmello,19209349,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
9,"Look What You Made Me Do","Taylor Swift",18869856,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
10,"Sorry Not Sorry","Demi Lovato",18254587,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
1,rockstar,"Post Malone",46918992,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
2,"Mi Gente","J Balvin",26596772,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
3,"Too Good At Goodbyes - Edit","Sam Smith",26268442,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
4,"New Rules","Dua Lipa",25782603,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
5,1-800-273-8255,Logic,23171275,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
6,"Dusk Till Dawn - Radio Edit",ZAYN,22532430,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
7,"Look What You Made Me Do","Taylor Swift",21610813,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
8,Havana,"Camila Cabello",21315604,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
9,Silence,Marshmello,20207453,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
10,"What Lovers Do (feat. SZA)","Maroon 5",19278180,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
1,rockstar,"Post Malone",35821535,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
2,"Too Good At Goodbyes - Edit","Sam Smith",29416022,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
3,"Mi Gente","J Balvin",27756639,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
4,"New Rules","Dua Lipa",26215788,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
5,"Look What You Made Me Do","Taylor Swift",25416545,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
6,1-800-273-8255,Logic,23662238,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
7,"Dusk Till Dawn - Radio Edit",ZAYN,22249014,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
8,Havana,"Camila Cabello",21260578,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
9,"Friends (with BloodPopÂ®)","Justin Bieber",20520619,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
10,Silence,Marshmello,20225150,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
1,"Too Good At Goodbyes - Edit","Sam Smith",30706135,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
2,"Look What You Made Me Do","Taylor Swift",29021986,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
3,"Mi Gente","J Balvin",28657214,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
4,"New Rules","Dua Lipa",25312487,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
5,1-800-273-8255,Logic,22630987,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
6,"Friends (with BloodPopÂ®)","Justin Bieber",21733055,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
7,"Dusk Till Dawn - Radio Edit",ZAYN,21296996,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
8,Unforgettable,"French Montana",20349143,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
9,Havana,"Camila Cabello",20105338,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
10,Feels,"Calvin Harris",19499233,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
1,"Look What You Made Me Do","Taylor Swift",35206453,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
2,"Mi Gente","J Balvin",30264888,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
3,"New Rules","Dua Lipa",24864297,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
4,"Friends (with BloodPopÂ®)","Justin Bieber",23215552,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
5,Feels,"Calvin Harris",21468609,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
6,Unforgettable,"French Montana",21214189,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
7,"Sorry Not Sorry","Demi Lovato",19545702,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
8,Havana,"Camila Cabello",19138667,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
9,"Wild Thoughts","DJ Khaled",18911540,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
10,1-800-273-8255,Logic,18729025,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
1,"Look What You Made Me Do","Taylor Swift",44480002,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
2,"Mi Gente","J Balvin",31601477,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
3,"Friends (with BloodPopÂ®)","Justin Bieber",24755990,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
4,"New Rules","Dua Lipa",23833281,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
5,Unforgettable,"French Montana",22480426,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
6,Feels,"Calvin Harris",22221191,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
7,"Wild Thoughts","DJ Khaled",21402984,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
8,"Despacito - Remix","Luis Fonsi",20256922,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
9,"Sorry Not Sorry","Demi Lovato",19294970,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
10,"XO TOUR Llif3","Lil Uzi Vert",18201699,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
